These	These	np1	These	Theise	0
kings	kings	ng1	kings	king	0
custome	custome	n1	custom	custom	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
sort	sort	n1	sort	sort	0
be	be	vbb	be	be	0
withholden	withholden	vvi	withholden	withhold	0
or	or	cc	or	or	0
diminished	diminished	vvn	diminished	diminish	0
:	:	:	:	:	0
&	&	cc	&	and	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
contrary	contrary	j-jn	contrary	contrary	0
unto	unto	p-acp	unto	unto	0
al	al	d	all	all	0
these	these	d	these	these	0
provisoes	provisoes	n2	provisoes	proviso	0
hath	hath	vhz	hath	have	0
bin	bin	vbn	been	be	0
every	every	d	every	every	0
yere	yere	n1	year	year	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
these	these	d	these	these	0
20.	20.	crd	20.	20.	0
yeres	yeres	n2	years	year	0
or	or	cc	or	or	0
thereabout	thereabout	av	thereabouts	thereabouts	0
notoriously	notoriously	av-j	notoriously	notorious	0
practised	practised	vvn	practised	practise	0
and	and	cc	and	and	0
committed	committed	vvn	committed	commit	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
joyntly	joyntly	av-j	jointly	joint	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
generail	generail	j	generail	generail	0
counsell	counsell	n1	counsel	counsel	0
,	,	,	,	,	0
and	and	cc	and	and	0
toleration	toleration	n1	toleration	toleration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresayd	foresayd	j-vvn	foresaid	foresay	0
society	society	n1	society	society	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
severally	severally	av-j	severally	several	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
advise	advise	n1	advice	advice	0
and	and	cc	and	and	0
permission	permission	n1	permission	permission	0
of	of	pp-f	of	of	0
divers	divers	j	diverse	diverse	0
particular	particular	j	particular	particular	0
cities	cities	n2	cities	city	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresayd	foresayd	j-vvn	foresaid	foresay	0
Hans	Hans	np1	Hans	Hans	0
company	company	n1	company	company	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
diminution	diminution	n1	diminution	diminution	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
majesties	majesties	n2	majesties	majesty	0
custome	custome	n1	custom	custom	0
,	,	,	,	,	0
the	the	dt	the	the	0
estimation	estimation	n1	estimation	estimation	0
whereof	whereof	c-crq	whereof	whereof	0
the	the	dt	the	the	0
foresayd	foresayd	j-vvn	foresaid	foresay	0
ambassadors	ambassadors	n2	ambassadors	ambassador	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
able	able	j	able	able	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
present	present	n1	present	present	0
fully	fully	av-j	fully	full	0
to	to	pc-acp	to	to	0
declare	declare	vvi	declare	declare	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
that	that	cst	that	that	0
all	all	d	all	all	0
occasions	occasions	n2	occasions	occasion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
last	last	ord	last	last	0
above	above	p-acp	above	above	0
mentioned	mentioned	vvd	mentioned	mention	0
diminution	diminution	n1	diminution	diminution	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
prevented	prevented	vvn	prevented	prevent	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
ambassadors	ambassadors	n2	ambassadors	ambassador	0
doe	doe	vdb	do	do	0
demand	demand	vvi	demand	demand	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
from	from	p-acp	from	from	0
How	How	c-crq	How	how	0
many	many	d	many	many	0
U	U	crd	U	u	0
’	’	’	’	’	0
the	the	dt	the	the	0
foresayd	foresayd	j-vvn	foresaid	foresay	0
societie	societie	n1	society	society	0
a	a	dt	a	a	0
declaration	declaration	n1	declaration	declaration	0
in	in	p-acp	in	in	0
writing	writing	vvg	writing	write	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
and	and	cc	and	and	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
i	i	sy	i	i	0
'	'	'	'	'	0
r	r	sy	r	r	0
.	.	.	.	.	1
■	■	sy	■	■	0
.	.	.	.	.	1
•	•	•	•	•	0
•	•	•	•	•	0
..	..	..	..	..	0
-	-	-	-	-	0
ii	ii	crd	ii	two	0
Hans	Hans	np1	Hans	Hans	0
townes	townes	n2	towns	town	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
what	what	q-crq	what	what	0
maner	maner	n1	manner	manner	0
ot	ot	zz	ot	ot	0
territories	territories	n2	territories	territory	0
,	,	,	,	,	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
townes	townes	n2	towns	town	0
,	,	,	,	,	0
villages	villages	n2	villages	village	0
or	or	cc	or	or	0
companies	companies	n2	companies	company	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
society	society	n1	society	society	0
challengeth	challengeth	vvz	challengeth	challenge	0
and	and	cc	and	and	0
pretendeth	pretendeth	vvz	pretendeth	pretend	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
enjoy	enjoy	vvi	enjoy	enjoy	0
the	the	dt	the	the	0
priviledges	priviledges	n2	privileges	privilege	0
granted	granted	vvn	granted	grant	0
unto	unto	p-acp	unto	unto	0
their	their	po32	their	their	0
marchants	marchants	n2	merchants	merchant	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
above	above	p-acp	above	above	0
mentioned	mentioned	vvn	mentioned	mention	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Moreover	Moreover	av	Moreover	moreover	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
required	required	vvn	required	require	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
ambassadors	ambassadors	n2	ambassadors	ambassador	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
societie	societie	n1	society	society	0
aforesayd	aforesayd	vvn	aforesaid	aforesaid	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
decreed	decreed	vvn	decreed	decree	0
nor	nor	ccx	nor	nor	0
ordayned	ordayned	vvn	ordained	ordain	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
above	above	a-acp	above	above	0
written	written	vvn	written	write	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
names	names	n2	names	name	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cities	cities	n2	cities	city	0
and	and	cc	and	and	0
places	places	n2	places	place	0
decreeing	decreeing	vvg	decreeing	decree	0
and	and	cc	and	and	0
ordaining	ordaining	vvg	ordaining	ordain	0
such	such	d	such	such	0
statutes	statutes	n2	statutes	statute	0
&	&	cc	&	and	0
ordinances	ordinances	n2	ordinances	ordinance	0
,	,	,	,	,	0
may	may	vmb	may	may	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
common	common	j	common	common	0
society	society	n1	society	society	0
either	either	av-d	either	either	0
now	now	av	now	now	0
or	or	cc	or	or	0
at	at	p-acp	at	at	0
some	some	d	some	some	0
other	other	j-jn	other	other	0
times	times	n2	times	time	0
and	and	cc	and	and	0
places	places	n2	places	place	0
convenient	convenient	j	convenient	convenient	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
be	be	vbb	be	be	0
expressed	expressed	vvn	expressed	express	0
and	and	cc	and	and	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
in	in	p-acp	in	in	0
writing	writing	n1	writing	writing	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	1
